ensembl_gene_id_version,external_gene_name,logFC,logCPM,FDR
ENSMUSG00000032340.9,Neo1,9.6354173857869,10.2963441092946,0
ENSMUSG00000066363.13,Serpina3f,1.15148484845159,6.10383574511816,4.46920746578864e-12
ENSMUSG00000092837.3,Rpph1,-0.794637637680845,9.43765533583973,6.53195168181376e-08
ENSMUSG00000022773.20,Ypel1,-0.991860563249505,5.49268253107349,2.64994956508648e-07
ENSMUSG00000038393.15,Txnip,0.781881236417169,7.59411728846394,8.81000766895389e-07
ENSMUSG00000102189.2,Gm37194,-0.76916408988082,7.48149749114903,9.41323537172098e-07
ENSMUSG00000086411.2,Gm14236,-0.829218662260109,6.34318307411725,1.53213234970666e-06
ENSMUSG00000021831.10,Ero1a,0.747346426607005,7.8975402592142,1.77806391384645e-06
ENSMUSG00000059326.8,Csf2ra,-1.00137132310523,5.14922237570767,1.77806391384645e-06
ENSMUSG00000096201.2,Gm10715,1.04900877716922,5.01463828958551,2.0879640891467e-06
ENSMUSG00000105813.2,Gm42928,1.8765890014685,2.99187059005803,2.0879640891467e-06
ENSMUSG00000021758.15,Ddx4,1.9100671849173,3.06454364954147,2.35001099150589e-06
ENSMUSG00000018927.4,Ccl6,0.810099774825269,6.4589683107008,2.97611171899394e-06
ENSMUSG00000032496.8,Ltf,2.26187965890545,2.35708270821196,9.32603409944121e-06
ENSMUSG00000020396.9,Nefh,-0.705766741780503,7.44114346789438,1.22640294925531e-05
ENSMUSG00000025408.16,Ddit3,0.741153647396721,7.69032183297104,1.37558754390232e-05
ENSMUSG00000075014.2,Gm10800,0.670723734884424,10.4991069121138,1.37558754390232e-05
ENSMUSG00000106621.2,Gm42752,1.51791236116592,3.32808361939096,1.59441588781484e-05
ENSMUSG00000035202.9,Lars2,0.66370516989866,9.98034474288217,1.77265875004923e-05
ENSMUSG00000032715.10,Trib3,0.726753960995945,6.87190962719086,2.91324470665348e-05
ENSMUSG00000028793.16,Rnf19b,0.80212761166104,5.87198930204929,2.95723009681799e-05
