x	y	gene	pval
21	0.4593573693819604	Abca4	0.029676722190393297
76	1.4247981718925455	Abcb1b	0.37399463287402934
24	0.571631883896719	Acpp	0.6387204987245643
120	2.7016386458503647	Acsl4	0.15167826578225102
74	1.4372409456628532	Alcam	0.3770781570910223
143	4.092958357278566	Aldh1a1	0.4161301375252512
35	0.7656917507323163	Amotl2	0.5605339267123202
38	0.7335719239574179	Ampd3	0.22563116686479412
35	0.7835243463427818	Antxr2	0.0692409535869148
40	1.0014447920127292	Anxa2	0.09450354615023081
67	1.7317159672752636	Anxa6	0.3780370949021957
52	0.9935244565107182	Arhgap29	0.9720671388154585
63	1.3466355458445767	Arhgap30	0.267138490831666
29	0.6182535426512473	Arhgef28	0.5923669453135652
115	3.028071980839013	Art4	0.16520716945150787
44	0.8731612737403807	Aspa	0.5077495314906207
21	0.4734596321725423	B3galt1	0.6676969246683655
13	0.29945643731545213	Btg2	0.7517619809206666
105	2.453499214206541	Casp12	0.20807312156019092
95	2.6595680431404634	Cd34	0.17185909811147945
76	1.575623539163927	Cd37	0.3333116112521606
90	1.588193983878309	Cd38	0.35048540327008426
202	5.918636890325684	Cd63	0.9765269097308534
167	4.433791521066875	Cd9	0.17237772774756446
46	1.089436508211519	Cldn12	0.5109661196302202
100	2.7032755740539622	Clec1a	0.5226574512114666
14	0.2547573700119045	Clec1b	0.74642674406602
63	1.738313349657195	Clu	0.38819957733523736
93	2.0229713507751708	Col4a2	0.8700114495413257
171	2.897482656919079	Cpne8	0.8589934322097822
33	0.5038232509251351	Csf2rb	0.7948763059079946
59	1.045124509957274	Cyp26b1	0.44816115664658684
74	1.2615963991268864	Cysltr2	0.3679009645880912
110	2.599426517479176	Cytip	0.8185779896134101
130	1.9917113070186274	Dennd5b	0.018075923249259683
81	2.2049591901460857	Dhrs3	0.31772366253087775
32	0.5637297510402366	Dhx40	0.022397402942368173
94	1.8746198791883482	Dnmt3b	0.6713840178066046
75	1.7964927358972622	Ebi3	0.2238483376135424
20	0.5398010229831937	Ect2	0.013118324124316202
44	1.1530223890440126	Efna1	0.49500735744951596
36	0.6947865156973396	Egr1	0.5667069092113503
91	2.5521585673732288	Ehd3	0.2540804396765319
134	3.7598419106741403	Enpp5	0.4989915639350617
27	0.6660005789370574	Evc	0.6113081024506912
135	3.6449814826546088	Exoc6b	0.09802269025873994
102	2.3344523474164185	Fhl1	0.3406104214652206
118	2.317089570878641	Fyb	0.11515847371909632
49	1.1426242444577748	Gadd45g	0.4616880743468108
143	3.468412623917723	Gda	0.08521338443374124
39	0.958102923399668	Gem	0.5402005725822803
40	0.767561210949594	Ghr	0.5618169088627156
29	0.7148447337075132	Gpr183	0.6143604146893544
34	0.7328706540245573	Gpx3	0.5709394242706582
171	4.97518803269958	Gstm1	0.4195854954055983
32	0.6954283533669076	Gstm2	0.5774497105080948
9	0.23345251863490357	Hnf4a	0.7875968552194046
56	0.5962838357801452	Hpgds	0.5278777308312493
41	0.795070980395341	Id2	0.5217668904896593
23	0.5166137489596235	Il12rb2	0.6450241750995396
47	0.929500478612668	Il15	0.2009362917149129
110	2.6770440376316404	Itgb3	0.9348212837580517
55	1.3971788244768348	Jam2	0.44048247888185776
47	1.1245313990488315	Jun	0.4909714158970586
53	1.0763792034754933	Kcnip3	0.47885494718744126
17	0.4502269734621316	Kdr	0.6968863362530004
65	1.7460099252240366	Klhl4	0.3795359464028073
34	0.7775488168150904	Klrb1c	0.5809441061360814
169	4.860493166430786	Lamp2	0.7376707361691215
40	0.9287837992819193	Ldhd	0.5325213768522814
142	3.8073429535412773	Lpar6	0.33704196072019
44	0.8112750880222815	Lpl	0.5522826790030213
129	3.423037585427095	Lsp1	0.44777131459517183
43	0.6781467722120386	Lsr	0.5468574305015284
105	1.9542472999806448	Lst1	0.5462455625901192
214	7.2427173982935384	Ly6e	0.9212808850587375
24	0.548855020382714	Mab21l2	0.6434757063972026
42	1.0025890607977619	Mamdc2	0.5101810227116925
29	0.7479236985763674	Matn4	0.5975728870159793
79	2.2926877968990538	Mcm5	0.08428254432232506
116	3.2816680374407396	Mcm7	0.0563786446595154
162	4.261916648917762	Mef2c	0.15690874930863824
21	0.5051898342641585	Mgst1	0.6496794368617094
117	2.6930976449878865	Mlec	0.9532349608534869
167	3.9996041783610052	Mllt3	0.9883740864620867
183	5.640276431667814	Mmrn1	0.8368178638113049
81	1.6190186025482816	Mt1	0.3138731093159689
155	4.754918009641012	Muc13	0.27727185782758407
56	0.8503911059232684	Myo1e	0.5128956271788414
87	2.2846168695505504	Ndn	0.27302138870679454
87	2.4135505384306333	Ndrg1	0.049035851460436694
37	0.7185461950993607	Neo1	0.5641430034981618
110	2.6533434435681933	Npdc1	0.1968069501032563
42	0.7157968429587005	Nrg4	0.5472304262398605
172	4.886764588749213	Nt5c3	0.5009914338137915
133	2.820538928219283	Nupr1	0.7014697213566237
37	0.9037160175252273	Ocln	0.5486608284878716
17	0.3984402620869272	Osmr	0.7140084799944766
135	3.4637105527697396	Oxr1	0.10494511055266002
33	0.7523203474727099	Pbx3	0.5930637059254673
26	0.5747613261869585	Perp	0.6252752844821402
54	1.0839343505815506	Pgr	0.4594873865378961
63	1.441632262605517	Phactr1	0.427718980140568
38	0.746478184043313	Phf11d	0.5724013423610428
104	2.6703582973969926	Pla2g4a	0.5468716888615857
36	0.7611395330596741	Plac8	0.3305345363953638
56	1.3888030273398861	Plek	0.17112025778208656
118	2.793403663062725	Plscr1	0.7602245198214883
77	1.8682833306086155	Plscr2	0.32444602786384236
101	2.209142146972153	Plscr4	0.5381907143342273
106	2.5623683301776037	Plxdc2	0.08719783720277448
173	2.786712550977783	Ppp1r16b	0.4803775906253481
157	4.361499658675043	Prcp	0.5174486928307642
53	1.2918064179037139	Prnp	0.4442529203176745
136	3.566255306333131	Procr	0.08846093981043135
32	0.7206542373521105	Pros1	0.596717281274206
189	5.20644541567016	Prtn3	0.4604017898393853
46	1.1502482195028396	Ptger4	0.49784265294002006
44	0.9711732522701992	Ramp2	0.5001123623186976
24	0.5374674709207422	Rassf4	3.192605911102244e-05
47	1.0204058930493438	Rdh10	0.4883654321301344
125	3.2748705459102116	Rfc2	0.09901681769923146
53	1.168054264940948	Rhoj	0.4559145482826671
29	0.6500207376075723	Rnase6	0.5925658289980329
45	1.1230055209140286	Rorb	0.5065690126767997
56	1.2543573634159697	Rorc	0.46678486076483205
77	1.70815925389413	Runx1t1	0.35392246780372105
81	1.5877168367661383	S100a6	0.5926974041795784
54	1.3558525515434254	Sbspon	0.4507547890563176
128	3.645803248961597	Sdpr	0.47685326143733764
18	0.5104139615184391	Sell	0.6773320799390121
