chr19	10057212	10057457
chr8	96704020	96704191
chr12	55797800	55797883
chr2	33616090	33616548
chr12	70260295	70260482
chr17	11651646	11651858
chr16	77705156	77705256
chr6	129398318	129398394
chr9	92235719	92235905
chr6	84529758	84529809
chr1	173704015	173704101
chr1	145785825	145785997
chr11	80212962	80213066
chr3	24962218	24962407
chr1	151861480	151861542
chr18	11931371	11931423
chr1	136894815	136895000
chr10	110187861	110187959
chrX	153362532	153362593
chr5	68061102	68061176
chr9	35090427	35090496
chr14	78516312	78516378
chr5	9369440	9369540
chr14	56237142	56237200
chr1	62759697	62759873
chr13	59704611	59704745
chr12	101587390	101587522
chr1	38365565	38365701
chr17	65065780	65066150
chr5	118780889	118780939
chr10	16214870	16215011
chr18	66428986	66429186
chr19	7637101	7637528
chr6	108853397	108853621
chr6	117263011	117263260
chr2	156131907	156131958
chrX	96758111	96758189
chr15	39587736	39587845
chr2	92194394	92194612
chr5	120622240	120622303
chr1	78601511	78601582
chr1	54923997	54924182
chrX	139044709	139044821
chr10	120587501	120587551
chr12	70462225	70462452
chr1	104524777	104524857
chr1	77278436	77278584
chr1	51346329	51347856
chr17	66492757	66492828
chr9	113658599	113658681
chr7	118718489	118718540
chr2	5300147	5300399
chr1	37587089	37587265
chr1	150875572	150875671
chr10	23213472	23213632
chr14	69438437	69438506
chr19	4439909	4440029
chr1	63904314	63904395
chr19	32021387	32021453
chr6	109813550	109813773
chr3	51139464	51139558
chr15	41656886	41657554
chr1	145104648	145104771
chr10	117356303	117356393
chr7	31588815	31589175
chr12	83400235	83400488
chr16	4066413	4066481
chr3	100797141	100797308
chr7	119469608	119469723
chr2	126818684	126818930
chr5	114097483	114097606
chr14	77856832	77857043
chr5	76718444	76718554
chr9	47208507	47208715
chrX	158372984	158373333
chr1	51348467	51349524
chr13	29566417	29566562
chr9	113878047	113878189
chr16	28596437	28596545
chr5	51461604	51462035
chr17	39983361	39985074
chr2	52795158	52795210
chr10	121890939	121890994
chr18	65798842	65799027
chr4	124363023	124363625
chr8	26114168	26114325
chr9	30116989	30117116
chr13	59715303	59715426
chr2	93598664	93598796
chr3	110310076	110310138
chr11	86768507	86768576
chr13	113368402	113368548
chr2	163544834	163545018
chr5	102408934	102409291
chr8	55171835	55171966
chr12	79451893	79452147
chr1	99807631	99807689
chr13	10046009	10046113
chr8	81480550	81480697
chr13	113201628	113201925
chr15	95652643	95652801
chr6	99874293	99874366
chr11	111306306	111306435
chr12	103014678	103014778
chr15	76984424	76984575
chr12	118696875	118696941
chrX	48430123	48430224
chr1	137568522	137569151
chr10	41693432	41693655
chr14	34088879	34089122
chr4	62456869	62456958
chr6	91910173	91910227
chr9	22594007	22594182
chr10	74036029	74036220
chr17	79428376	79428694
chr18	33533570	33533622
chr5	134851709	134851761
chr11	108283743	108283943
chr12	104452768	104452914
chr2	131933419	131933477
chr14	42237400	42237514
chr9	61600490	61600638
chr12	88309709	88309815
chr14	75057097	75057241
chr15	12548444	12548523
chr2	11353671	11353900
chr4	151638202	151638455
chr8	28254889	28255121
chr18	46712993	46713086
chr5	123553535	123553720
chrX	38987992	38988060
chr8	11774221	11774298
chr3	116097815	116098139
chr10	24771702	24771755
chr11	88864089	88864200
chr2	152646867	152646993
chr4	31382222	31382311
chr9	61733913	61734156
chr1	37753394	37753563
chr1	196926981	196927093
chr14	75313312	75313604
chr17	74202393	74202772
chr18	73822356	73822423
chr6	34282441	34282535
chr12	31898584	31898717
chr17	87578620	87578751
chr3	81744314	81744412
chr5	25160538	25160608
chr12	27162858	27163048
chr14	19294960	19295132
chr15	6490528	6491028
chr17	4865399	4866037
chr2	11278501	11278596
chrX	54033336	54033595
chr11	86397082	86397402
chr4	129298714	129298861
chr7	53722118	53722267
chr11	74830262	74830362
chr12	78190908	78191126
chr3	14587564	14587729
chr7	106971363	106971435
chr4	9248859	9249185
chrX	9325697	9325814
chrX	99515278	99515445
chr2	60884684	60884766
chr3	146261239	146261383
chr4	120302943	120303026
chr10	103437281	103437445
chr11	62949717	62949879
chr15	85943338	85943391
chr16	22070868	22071068
chr8	13493850	13493940
chr12	71099294	71099392
chr5	77089436	77089521
chr9	96406708	96406932
chrX	83050454	83050563
chr2	34825756	34825933
chr2	167209626	167209764
chr9	102623989	102624699
chr18	52823389	52823676
chr19	4230584	4230698
chr12	41958914	41959096
chr2	119237009	119237189
chr7	95455223	95455495
chr8	112582161	112582322
chr10	104675417	104675578
chr11	115018263	115018335
chr6	145881368	145881513
chr9	56267607	56267718
chr13	69743017	69743074
chr2	148700917	148701182
chr4	41672744	41672807
chr6	5033094	5033177
chr1	42852299	42852400
chr11	119998408	119998490
chr6	8461533	8461849
chr16	45121234	45121337
chr2	14376928	14377059
chr16	58222309	58222516
chr17	71313069	71313196
chr1	132897019	132897434
chr5	128017888	128018293
chr1	133032253	133032386
chr1	140578298	140578406
chr11	64829384	64829630
chr12	72954110	72954191
chr16	86368817	86368992
chr3	52700316	52700564
chr2	85125087	85125371
chr3	132515478	132515689
chr5	68402985	68403244
chr9	106114159	106114226
chr10	98692329	98692399
chr11	72766981	72767211
chr11	89916070	89916151
chr16	35981707	35981868
chr19	31965732	31965957
chr2	70674500	70674787
chr4	149961976	149962381
chr10	61958285	61958448
chr11	111807809	111808122
chr4	144558713	144559347
chr6	129401010	129401641
chr1	167166951	167167039
chr16	31609651	31609922
chr2	52170776	52170848
chr3	123274812	123275441
chr9	104756929	104757175
chr10	106022082	106022372
chr9	77926529	77926582
chr5	108778662	108779019
chr8	117614233	117614379
chr10	83174733	83174905
chr11	62365784	62365943
chr11	118465685	118465836
chr13	109332632	109332782
chr14	77274521	77274575
chr3	9001676	9002043
chr9	62983981	62984038
chr1	51352635	51352985
chr16	93373903	93373989
chr10	61783232	61783418
chr12	100883747	100883862
chr13	106057702	106057953
chr19	58240305	58240456
chr5	142897019	142897335
chr2	92823191	92823577
chr1	137454629	137454751
chr10	54475325	54475407
chr13	83480828	83480888
chr14	17406687	17407175
chr15	58634064	58634132
chr16	12673161	12673327
chr6	134056314	134056374
chr9	4555746	4556083
chr12	109432247	109432437
chr15	62118187	62118416
chr8	81735639	81735777
chr16	23844540	23845419
chr2	67449786	67450397
chr5	77082015	77082200
chr6	66965853	66966022
chr10	87323660	87323787
chr17	75129918	75129986
chr5	67647078	67647190
chr9	34969333	34969656
chr16	12517495	12517629
chr2	61031465	61031759
chr2	115810303	115810430
chr3	115993152	115993450
chr4	133432710	133432810
chr5	149511758	149511856
chr6	134338747	134338860
chr8	98372250	98372315
chr9	118903430	118903504
chr1	75353835	75353922
chr11	79552420	79552513
chr18	23813199	23813275
chr6	5009343	5009540
chr8	113211723	113211845
chr11	82833430	82833601
chr12	56587846	56588518
chr5	125594658	125594735
chr11	111933115	111933189
chr12	3811647	3811831
chr17	15945993	15946087
chr19	10223607	10223717
chr3	129315917	129315992
chr10	88900810	88901069
